Test_Loss,Train_Loss
0.1385441372791926,0.5176757003825444
0.12936515361070633,0.12622801871158373
0.12056139608224233,0.11722837543735902
0.10526492695013683,0.1024197643288435
0.07805512845516205,0.08671571211650586
0.06798055768013,0.07520546342652196
0.05985072130958239,0.06781427901333724
0.05468675370017687,0.06426866931649737
0.05000701919198036,0.060739002835292086
0.049402981996536255,0.058470789880420156
0.04878364875912666,0.057275122795731596
0.0455612950026989,0.05484493617684795
0.04492738594611486,0.054584600867178194
0.04262606302897135,0.05202735847053237
0.04171789685885111,0.05036561428688657
0.04110448559125265,0.04972241157427048
0.04061016937096914,0.048753223716257475
inf,92129343492975.52
inf,inf
inf,inf
inf,inf
7.897302396043264e+16,inf
inf,inf
3.5133601996253868e+16,1.1252538019293026e+16
inf,7054977870970460.0
inf,6178081828301903.0
2.324499615571422e+16,2924142939253418.5
1.5064099753470634e+16,2412400605296167.5
1.6506161329777322e+16,4572833017979510.0
3.2691133551913644e+16,inf
1.3046302464016384e+16,3569874447885758.5
1.6005135141087914e+16,2441288711163589.0
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
inf,inf
