Test_Loss,Train_Loss
0.14589116473992667,0.17285007871209812
0.13406618436177573,0.1243281069999704
0.13835477580626807,0.1196761229672493
0.1403402735789617,0.11552348761604382
0.12557148933410645,0.11404733875623116
0.12359971056381862,0.11312011409646426
0.12209733823935191,0.11209249283927374
0.11874069521824519,0.10908143310688245
0.10637140770753224,0.10240770926555762
0.10226173202196757,0.09700098953759059
0.0892714187502861,0.08959470245127495
0.08801654477914174,0.08290011001129945
0.08309952914714813,0.0806989315419625
0.08179229994614919,0.07743233549766816
0.0791775609056155,0.07670638428475612
0.07810095200936,0.07528158014592452
0.07528292139371236,0.07403280603914307
0.07484955092271169,0.07278315026838428
0.0805782675743103,0.07251249243003818
0.07148920744657516,0.07367358804465486
0.07396752387285233,0.07101991838321854
0.07305692136287689,0.07117395827737756
0.07391780863205592,0.06956923785261236
0.0719894344607989,0.06943537393966928
0.07111610968907674,0.06955778687141645
0.06791477898756663,0.06794267035543154
0.06411039580901463,0.06731990284214799
0.0663486048579216,0.06496583222626494
0.06702479844292004,0.06388460718190823
0.061656357099612556,0.06277544816764884
0.06456266716122627,0.06194936837523411
0.059854031850894295,0.06122195718284601
0.0688617005944252,0.06071959804886809
0.06459127366542816,0.06060889253440576
0.0578358918428421,0.05986367287830664
0.16188537081082663,0.06008136292728476
0.06431221837798755,0.05956663891004446
0.05910612766941389,0.05922187715530013
0.05718215306599935,0.058992816445728145
0.06283432990312576,0.05907332384958863
0.059828841437896095,0.05936125331582167
0.05762563149134318,0.05860290225022114
0.06278779730200768,0.05779579439415382
0.058932267129421234,0.056817442847368047
0.05783390502134959,0.05693685670550435
0.0555505578716596,0.05706483612839992
0.056207080682118736,0.056874073623942256
0.058742345621188484,0.056507535254917085
0.05620072657863299,0.056692001362068534
0.0545338566104571,0.056269815227446646
0.055943578481674194,0.055660331526245825
0.05624291424949964,0.056009874595567964
0.06263724714517593,0.055619391720168866
0.05641502390305201,0.055994702968746424
0.056940481066703796,0.05717996406392791
0.056539672116438545,0.055993856432346195
0.05441733077168465,0.05528366368693801
0.053406005104382835,0.05531228802954921
0.06183848033348719,0.05552541183976409
